relationship_id,start_id,end_id,relationship_type,predicate_zh,start_name,end_name,source
relgen_305ab7fb4d2d221503ec,entity_CP_CC_043,category_CC,BELONGS_TO,属于,景德镇窑珊瑚红地描金山水纹瓶,彩瓷,广东民间工艺博物馆官网
relgen_59ca367a771fe5d08a1b,entity_CP_CC_044,category_CC,BELONGS_TO,属于,景德镇窑珊瑚红地五彩花卉纹觚形瓶,彩瓷,广东民间工艺博物馆官网
relgen_d613fc82476c51e50386,entity_CP_CC_045,category_CC,BELONGS_TO,属于,景德镇窑粉彩儿童耍乐图瓶,彩瓷,广东民间工艺博物馆官网
relgen_76f43358601758a45ba7,entity_CP_CC_046,category_CC,BELONGS_TO,属于,景德镇窑绿龙纹盘,彩瓷,广东民间工艺博物馆官网
relgen_47dec16ac1b150490e1b,entity_CP_CC_047,category_CC,BELONGS_TO,属于,景德镇窑粉彩人物纹瓶,彩瓷,广东民间工艺博物馆官网
relgen_97ca7de9a18272b0d361,entity_CP_CC_048,category_CC,BELONGS_TO,属于,景德镇窑粉彩牡丹纹觚形瓶,彩瓷,广东民间工艺博物馆官网
relgen_bf142f364e3bb274d38b,entity_CP_CC_049,category_CC,BELONGS_TO,属于,景德镇窑五彩松鹿纹双耳尊,彩瓷,广东民间工艺博物馆官网
relgen_f1effe20c7f106ddef9f,entity_CP_CC_050,category_CC,BELONGS_TO,属于,景德镇窑墨彩山水纹天球瓶,彩瓷,广东民间工艺博物馆官网
relgen_0260db33fbdc45edd731,entity_CP_CC_051,category_CC,BELONGS_TO,属于,景德镇窑胭脂红地开窗墨彩山水纹灯笼瓶,彩瓷,广东民间工艺博物馆官网
relgen_dfc33fd3e7a2cb7e24fc,entity_CP_CC_052,category_CC,BELONGS_TO,属于,景德镇窑粉彩二乔图莲口胆瓶,彩瓷,广东民间工艺博物馆官网
relgen_6c08a3e90f9cd9247c7a,entity_CP_CC_053,category_CC,BELONGS_TO,属于,景德镇窑珊瑚红描金牡丹纹瓶,彩瓷,广东民间工艺博物馆官网
relgen_8ed6fc2001f94d117e94,entity_CP_CC_054,category_CC,BELONGS_TO,属于,景德镇窑粉彩儿童耍乐图瓶,彩瓷,广东民间工艺博物馆官网
relgen_8e3be9dad2f9024bfce5,entity_CP_CC_055,category_CC,BELONGS_TO,属于,明竹雕狮子卧像摆件,彩瓷,广东民间工艺博物馆官网
relgen_bdc75eb17bad69ce6f9c,entity_CP_CC_056,category_CC,BELONGS_TO,属于,清咸丰粉彩八仙祝寿图蝠桃耳扁方瓶,彩瓷,广东民间工艺博物馆官网
relgen_e08703fc0e4e3ecbe6b5,entity_CP_CC_057,category_CC,BELONGS_TO,属于,清石湾窑绿釉鸭,彩瓷,广东民间工艺博物馆官网
relgen_59963a633d83dd3aeeda,entity_CP_CC_058,category_CC,BELONGS_TO,属于,清乾隆石湾窑宝蓝釉绶带鸟,彩瓷,广东民间工艺博物馆官网
relgen_5569910f4106fe1c08f3,entity_CP_CC_059,category_CC,BELONGS_TO,属于,清乾隆炉钧釉灯笼瓶,彩瓷,广东民间工艺博物馆官网
relgen_e267c8df2a6640ce9531,entity_CP_CC_060,category_CC,BELONGS_TO,属于,清光绪“高州府瓷业学堂制“款青花菊白头翁图瓶,彩瓷,广东民间工艺博物馆官网
relgen_3987ea40aef6158da6cb,entity_CP_CC_061,category_CC,BELONGS_TO,属于,明早期龙泉窑刻花开光“清香美酒”大罐,彩瓷,广东民间工艺博物馆官网
relgen_d37d03fee44f7f5e1089,entity_CP_CC_062,category_CC,BELONGS_TO,属于,明永乐龙泉窑刻荷莲花纹拓沿大盘,彩瓷,广东民间工艺博物馆官网
relgen_5453f05850a2c4a3f197,entity_CP_CC_063,category_CC,BELONGS_TO,属于,明石湾窑祖堂居款褐黄釉双狮耳鼓钉三足炉,彩瓷,广东民间工艺博物馆官网
relgen_95615f67a1a744eef8cd,entity_CP_CC_064,category_CC,BELONGS_TO,属于,明石湾窑可松制款翠毛釉筒炉,彩瓷,广东民间工艺博物馆官网
relgen_64a8e81fd3debf796948,entity_CP_CC_065,category_CC,BELONGS_TO,属于,明崇祯青花八仙图笔筒,彩瓷,广东民间工艺博物馆官网
relgen_b942bc8ec05582644a04,entity_CP_CC_066,category_CC,BELONGS_TO,属于,民国粉彩山水图长方盆,彩瓷,广东民间工艺博物馆官网
relgen_6524f809980e8b8992e2,entity_CP_CC_067,category_CC,BELONGS_TO,属于,清石湾窑翠毛釉桂鱼瓶,彩瓷,广东民间工艺博物馆官网
